movie_title,year,rank,star_cast,rating,vote,link,genres
Reservoir Dogs,1992,89,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.272066350456022,958678,https://www.imdb.com/title/tt0105236/,"Crime,Drama,Thriller"
M - Eine Stadt sucht einen Mörder,1931,90,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.270973539938463,150659,https://www.imdb.com/title/tt0022100/,"Crime,Mystery,Thriller"
Taare Zameen Par,2007,91,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.270740827196395,180890,https://www.imdb.com/title/tt0986264/,"Drama,Family"
Vertigo,1958,92,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.269167944270283,382418,https://www.imdb.com/title/tt0052357/,"Mystery,Romance,Thriller"
Citizen Kane,1941,93,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.2676687303197,422705,https://www.imdb.com/title/tt0033467/,"Drama,Mystery"
Idi i smotri,1985,94,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.266715423585268,68181,https://www.imdb.com/title/tt0091251/,"Drama,Thriller,War"
Jagten,2012,95,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.264725436503195,303769,https://www.imdb.com/title/tt2106476/,Drama
Requiem for a Dream,2000,96,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.261390358556978,796272,https://www.imdb.com/title/tt0180093/,Drama
Dune,2021,97,"Denis Villeneuve (dir.), Timothée Chalamet, Rebecca Ferguson",8.260145056577974,55962,https://www.imdb.com/title/tt1160419/,"Action,Adventure,Drama,Sci-Fi"
Singin' in the Rain,1952,98,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.25886233084743,228795,https://www.imdb.com/title/tt0045152/,"Comedy,Musical,Romance"
North by Northwest,1959,99,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.257888172184526,312329,https://www.imdb.com/title/tt0053125/,"Adventure,Mystery,Thriller"
 Eternal Sunshine of the Spotless Mind,2004,100,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.256091855734901,949084,https://www.imdb.com/title/tt0338013/,"Drama,Romance,Sci-Fi"
Ladri di biciclette,1948,101,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.254809627451595,155770,https://www.imdb.com/title/tt0040522/,Drama
Ikiru,1952,102,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.254711793123642,73738,https://www.imdb.com/title/tt0044741/,Drama
Pather Panchali,1955,103,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.253411755056863,28532,https://www.imdb.com/title/tt0048473/,Drama
Lawrence of Arabia,1962,104,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.249805760189746,279638,https://www.imdb.com/title/tt0056172/,"Adventure,Biography,Drama,History,War"
The Kid,1921,105,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.246076958905412,120226,https://www.imdb.com/title/tt0012349/,"Biography,Drama,Western"
Full Metal Jacket,1987,106,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.243249691597459,701976,https://www.imdb.com/title/tt0093058/,"Drama,War"
Dangal,2016,107,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.242470887126984,171589,https://www.imdb.com/title/tt5074352/,"Action,Biography,Drama,Sport"
The Father,2020,108,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.241227930453245,97850,https://www.imdb.com/title/tt10272386/,Drama
Het appartement,1960,109,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.237657258342383,172277,https://www.imdb.com/title/tt0053604/,"Comedy,Drama,Romance"
A Clockwork Orange,1971,110,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.237576726967237,786360,https://www.imdb.com/title/tt0066921/,"Crime,Drama,Sci-Fi"
Metropolis,1927,111,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.236530013478625,166877,https://www.imdb.com/title/tt0017136/,"Drama,Sci-Fi"
Taxi Driver,1976,112,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.23615341328568,762313,https://www.imdb.com/title/tt0075314/,"Crime,Drama"
Incendies,2010,113,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.235770395613823,162327,https://www.imdb.com/title/tt1255953/,"Drama,Mystery,War"
Double Indemnity,1944,114,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.2351780063382,150109,https://www.imdb.com/title/tt0036775/,"Crime,Drama,Film-Noir,Mystery,Thriller"
The Sting,1973,115,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.233587249659006,250772,https://www.imdb.com/title/tt0070735/,"Comedy,Crime,Drama"
A Separation,2011,116,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.232627759328478,232185,https://www.imdb.com/title/tt1832382/,Drama
Scarface,1983,117,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.232190716527034,779008,https://www.imdb.com/title/tt0086250/,"Crime,Drama"
1917,2019,118,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.231491046350756,492562,https://www.imdb.com/title/tt8579674/,"Action,Drama,War"
Snatch,2000,119,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.230579833590184,812136,https://www.imdb.com/title/tt0208092/,"Comedy,Crime"
Le fabuleux destin d'Amélie Poulain,2001,120,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.230180641817999,725373,https://www.imdb.com/title/tt0211915/,"Comedy,Romance"
Toy Story 3,2010,121,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.225651339510273,786770,https://www.imdb.com/title/tt0435761/,"Animation,Adventure,Comedy,Family,Fantasy"
To Kill a Mockingbird,1962,122,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.22549772949837,304439,https://www.imdb.com/title/tt0056592/,"Crime,Drama"
For a Few Dollars More,1965,123,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.218053717490134,243580,https://www.imdb.com/title/tt0059578/,Western
Up,2009,124,"Pete Docter (dir.), Ed Asner, Jordan Nagai",8.213416975446536,976478,https://www.imdb.com/title/tt1049413/,"Animation,Adventure,Comedy,Drama,Family"
Indiana Jones and the Last Crusade,1989,125,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.203775603474025,717672,https://www.imdb.com/title/tt0097576/,"Action,Adventure"
LA Confidential,1997,126,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.200567788033993,552065,https://www.imdb.com/title/tt0119488/,Talk-Show
Heat,1995,127,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.199939516224397,606543,https://www.imdb.com/title/tt0113277/,"Crime,Drama,Thriller"
Yôjinbô,1961,128,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.195280872522364,117303,https://www.imdb.com/title/tt0055630/,"Action,Drama,Thriller"
Rashômon,1950,129,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.194572066282573,160167,https://www.imdb.com/title/tt0042876/,"Crime,Drama,Mystery"
Ran,1985,130,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.193763383950955,119496,https://www.imdb.com/title/tt0089881/,"Action,Drama,War"
Die Hard,1988,131,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.193044912975596,821158,https://www.imdb.com/title/tt0095016/,"Action,Thriller"
Green Book,2018,132,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.190246029590847,427344,https://www.imdb.com/title/tt6966692/,"Biography,Comedy,Drama,Music"
Der Untergang,2004,133,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.18905059834561,341982,https://www.imdb.com/title/tt0363163/,"Biography,Drama,History,War"
Monty Python and the Holy Grail,1975,134,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.188403314834963,517908,https://www.imdb.com/title/tt0071853/,"Adventure,Comedy,Fantasy"
All About Eve,1950,135,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.186013469659773,125942,https://www.imdb.com/title/tt0042192/,Drama
Some Like It Hot,1959,136,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.184198762999726,254643,https://www.imdb.com/title/tt0053291/,"Comedy,Music,Romance"
Batman Begins,2005,137,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.183732862216013,1361140,https://www.imdb.com/title/tt0372784/,"Action,Adventure"
Unforgiven,1992,138,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.179229756877046,392137,https://www.imdb.com/title/tt0105695/,"Drama,Western"
Bacheha-Ye aseman,1997,139,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.178391017184142,70368,https://www.imdb.com/title/tt0118849/,"Drama,Family,Sport"
Hauru no ugoku shiro,2004,140,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.163729621920627,358033,https://www.imdb.com/title/tt0347149/,"Animation,Adventure,Family,Fantasy"
The Wolf of Wall Street,2013,141,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.16090438131468,1266489,https://www.imdb.com/title/tt0993846/,"Biography,Crime,Drama"
Oordeel te Neurenberg,1961,142,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.15754607228017,73781,https://www.imdb.com/title/tt0055031/,"Drama,War"
